"Código";"Município";"Municipio";"Área_km_";"Densidade_demográfica_2000";"Distância_à_capital_km_";"Esperança_de_vida_ao_nascer_2000";"Mortalidade_até_um_ano_de_idade_2000";"Taxa_de_fecundidade_total_2000";"Percentual_de_pessoas_de_25_anos_ou_mais_analfabetas_2000";"Renda_per_Capita_2000";"Índice_de_Gini_2000";"Intensidade_da_indigência_2000";"Intensidade_da_pobreza_2000";"Índice_de_Desenvolvimento_Humano_Municipal_2000";"Taxa_bruta_de_freqüência_à_escola_2000";"Taxa_de_alfabetização_2000";"Média_de_anos_de_estudo_das_pessoas_de_25_anos_ou_mais_de_idade_2000";"População_de_25_anos_ou_mais_de_idade_1991";"População_de_25_anos_ou_mais_de_idade_2000";"População_de_65_anos_ou_mais_de_idade_1991";"População_de_65_anos_ou_mais_de_idade_2000";"População_total_1991";"População_total_2000";"População_urbana_2000";"População_rural_2000"
"56";430020;"Ajuricaba (RS)";"Ajuricaba";335.3;23;317.102117;69.52;22.51;2.19;5.67;244.31;0.48;44.51;41.28;0.781;85.21;93.78;5.35;4546;4644;565;721;8607;7709;3759;3950
"57";310130;"Alagoa (MG)";"Alagoa";162;17.3;271.083239;71.53;24.22;2.31;20.18;157.73;0.55;38.92;40.41;0.726;69.4;82.84;3.74;1446;1599;195;254;2756;2800;1001;1799
"58";250030;"Alagoa Grande (PB)";"Alagoa Grande";333.7;87.4;85.17547;66.03;38.83;3.04;52.17;93.48;0.56;41.88;50.27;0.609;75.16;54.38;2.76;12162;13434;2491;2812;30128;29169;16847;12322
"59";250040;"Alagoa Nova (PB)";"Alagoa Nova";119.6;155.3;98.812312;64.62;43.62;3.44;47.79;82.87;0.61;50.08;58.21;0.612;78.19;60.85;2.71;6384;8534;1351;1675;15616;18575;8301;10274
"60";250050;"Alagoinha (PB)";"Alagoinha";94.7;124.9;77.416159;58.54;67.95;2.9;53.31;83.42;0.54;44.63;51.43;0.573;81.52;56.47;2.39;4331;5238;904;957;11075;11833;7789;4044
"61";260060;"Alagoinha (PE)";"Alagoinha";180.1;69.5;213.357011;65.79;54.41;3.2;39.25;92.26;0.56;52.45;55.43;0.63;75.24;64.6;3.31;5006;6198;884;1115;11068;12535;6738;5797
"62";220025;"Alagoinha do Piauí (PI)";"Alagoinha do Piauí";429.4;17;296.389753;62.21;52.53;2.41;60.59;96.08;0.55;51.69;52.74;0.576;74.71;48.53;1.93;3296;3294;385;417;8074;6868;1948;4920
"63";290070;"Alagoinhas (BA)";"Alagoinhas";736.8;175.9;93.320226;65.34;41.13;2.95;17.14;181.26;0.6;54.63;50.34;0.729;90.61;85.71;5.82;48178;62084;6074;8009;116894;130095;112440;17655
"64";350075;"Alambari (SP)";"Alambari";159.6;23;128.656013;68.71;20.97;3.05;13.46;210.69;0.52;52.03;34.21;0.748;76.89;88.87;4.58;1499;1807;177;253;3296;3650;2444;1206
"65";310140;"Albertina (MG)";"Albertina";57.7;49.2;382.488279;72.38;21.91;2.59;20.55;214.7;0.47;43.6;28.7;0.747;66.66;83.87;3.82;1256;1546;164;228;2486;2841;1745;1096
"66";250053;"Alcantil (PB)";"Alcantil";252.9;19.4;148.879136;62.47;51.53;3.41;41.1;68.8;0.49;46.34;52.77;0.606;81.98;66.21;2.39;1706;2319;359;441;4050;4958;1671;3287
"67";210020;"Alcântara (MA)";"Alcântara";1495.6;14.2;18.313475;61.04;57.2;3.32;41.79;60.73;0.63;64.55;64.27;0.6;82.94;69.74;2.92;7320;8747;897;1196;19587;21291;5665;15626
"68";230050;"Alcântaras (CE)";"Alcântaras";134.9;70.8;222.575972;62.8;60.81;3.35;46.99;68.42;0.55;53.26;57.8;0.607;90.85;61.35;2.6;3440;4198;566;800;8606;9548;2762;6786
"69";500025;"Alcinópolis (MS)";"Alcinópolis";4413.7;0.8;255.245012;69.46;27.06;2.92;19.33;192.47;0.53;55.39;42.67;0.745;81.82;85.63;3.92;2621;1832;159;119;6131;3679;2308;1371
"70";290080;"Alcobaça (BA)";"Alcobaça";1510.9;14.9;510.678378;61.15;56.73;3.25;36.35;116.63;0.57;57.13;51.21;0.637;83.01;69.69;3.24;5722;8975;649;1094;15638;20900;7446;13454
"71";210030;"Aldeias Altas (MA)";"Aldeias Altas";1951.2;9.6;250.724065;60.01;61.5;4.1;60.05;57.13;0.54;51.52;59.26;0.549;83.29;50.92;1.81;7106;7305;829;921;19520;18827;7375;11452
"72";430030;"Alecrim (RS)";"Alecrim";320.1;26.5;433.710306;69.46;22.64;2.53;8.49;150.55;0.51;37.68;47.17;0.743;81.36;91.2;4.47;4983;4974;634;780;9912;8487;2069;6418
"73";320020;"Alegre (ES)";"Alegre";778.6;40.7;133.81616;68.63;27.29;3.02;21.29;216.98;0.58;36.38;38.31;0.739;78.81;83.27;5.21;14294;16572;2050;2685;30017;31714;19741;11973
"74";430040;"Alegrete (RS)";"Alegrete";7808.8;10.8;440.267935;70.21;20.87;2.59;9.73;270.44;0.6;49.65;41.9;0.793;91.78;91.68;6.33;40051;45949;4742;6387;78784;84338;75092;9246
