,emb0,emb1,emb2,emb3,emb4,emb5
39,10.714518,2.4897037,11.221851,7.7752986,14.996782,-3.0077624
40,11.287362,2.1920383,10.690956,8.084123,15.871011,-3.5000725
41,11.871173,1.6075149,10.940521,8.312818,14.080396,-3.328024
42,11.875872,2.0670571,11.830871,7.1006174,9.066083,-0.5354042
43,11.746793,2.266865,11.891505,6.6168966,8.275088,-0.7900823
44,11.972059,3.122354,11.213379,7.292075,9.477121,-0.10888764
45,11.595153,1.8057772,12.266093,7.10502,9.41032,-1.1859804
46,11.660278,2.320303,11.782186,7.046635,9.326057,-0.6273823
47,12.106949,3.4051535,10.585353,7.2499967,9.5971155,-0.18483189
48,11.44304,2.1244,11.228352,7.455144,11.258001,-1.5191053
49,11.272454,2.1190917,11.122719,8.37702,15.749766,-3.9952135
50,10.98807,3.2058187,10.541052,8.40538,14.839427,-3.3863962
51,11.5128565,2.2149532,11.885952,7.050182,10.268919,-1.2687693
52,11.448968,1.921563,10.60517,8.410407,14.690874,-3.3487895
53,11.092434,2.8257096,10.669693,8.016729,15.94232,-3.4836369
54,11.347996,2.1343408,11.591279,7.052757,10.6401825,-1.5259777
55,12.184246,3.1812587,11.373592,7.271486,9.2292185,-0.9644172
56,11.476192,1.8577828,11.941077,7.061557,10.435822,-1.5360541
57,11.646953,1.6251839,11.052115,8.016755,15.194088,-3.4376123
58,11.628262,1.8837203,10.892576,7.8150063,15.140811,-3.1510582
59,11.028407,1.8484778,10.569167,8.965618,15.878141,-4.193093
60,11.606782,1.8972418,10.806427,8.20299,14.455685,-3.2490928
61,11.373438,2.0108056,11.000254,8.379265,15.830508,-3.9764607
62,11.979043,2.7555017,10.385279,7.9053473,11.582269,-1.7487656
63,11.958996,2.3558106,11.171737,7.546994,10.067276,-0.73977387
64,11.706304,1.9790298,12.39309,7.295517,9.565243,-1.0869505
65,11.400881,1.7241337,10.674304,8.786429,14.608292,-3.705659
66,11.036772,2.5189857,10.226806,8.460467,15.448046,-3.413869
67,11.610184,2.2108905,10.547326,8.232838,15.256857,-3.440879
68,12.154034,2.9656823,11.4177475,7.750297,10.854195,-1.4324039
69,11.267123,2.954224,10.759931,8.53775,14.57557,-3.6200976
70,10.707241,2.1185913,10.634325,8.581777,16.304798,-3.907473
71,11.927844,3.4216921,11.529807,7.068691,10.061791,-1.713346
72,11.717264,2.1391943,11.23848,7.43178,10.5193615,-1.711938
73,12.052181,3.880096,10.894093,7.124493,9.668587,-0.85139686
74,11.016908,2.1076736,10.779478,8.774645,15.971142,-4.189334
75,11.87851,3.5634632,11.422502,7.0536075,10.552504,-1.5848384
76,11.220882,3.434214,11.358901,7.6691437,13.380041,-2.6412275
77,12.08283,2.4548187,11.021992,7.8723226,14.387251,-3.2407854
78,11.505585,2.220821,11.04725,7.869817,12.041392,-2.1193252
79,11.683399,2.5668325,11.157157,7.106733,9.606044,-1.4476041
80,11.911139,3.7201288,11.141143,6.873629,9.105081,-0.15815988
81,11.475825,2.041987,11.511337,6.9727397,10.151644,-1.1175826
82,12.021675,3.798215,11.759879,6.902603,9.108302,-0.65215176
83,11.539063,1.5499562,11.927425,7.261736,10.254714,-1.7009782
84,11.574762,2.2190893,11.831194,7.033458,9.988059,-1.15582
85,11.303125,1.8208731,10.920693,8.393474,15.901749,-3.9146879
86,11.61306,1.5774313,10.853165,8.239224,14.995002,-3.4624698
87,10.878341,2.1569831,10.454847,8.976148,16.037477,-4.183682
88,12.190343,2.5706096,10.9933,7.8439493,10.950799,-2.0857375
89,11.702776,1.7665172,11.030938,8.462878,14.308095,-3.592341
90,11.11691,2.7561576,10.3022,8.572765,14.608245,-3.322433
91,11.303492,3.2098699,10.937627,7.5501356,13.14386,-2.2578545
92,11.625677,2.9971383,11.144359,7.875308,13.617822,-2.9802215
93,11.959718,2.5195582,10.833651,7.8693686,14.260049,-3.0588007
94,12.111708,2.5389044,10.637493,7.6915503,10.203526,-0.060273264
95,12.19978,2.4498756,11.055507,7.7731943,10.540322,-1.8024172
96,11.567247,1.7564764,11.929641,7.3903008,11.14449,-1.9991589
97,11.785118,3.2595854,11.248227,7.4968863,11.481775,-1.9663643
98,11.631384,2.0083535,12.168695,6.877771,8.913776,-1.2455543
99,12.144875,3.9654644,11.670201,7.3605103,10.002742,-1.2843695
